service_id,service_name,source_service,target_service,request_latency,request_volume,cpu_usage,memory_usage,error_rate,service_criticality,environment,timestamp
svc_010,Analytics Service,Order Service,Analytics Service,71.99,7876,59.3,1012.0,0.0466,low,production,2026-02-27T04:00:27.530280
svc_015,Report Service,Analytics Service,Report Service,117.33,947,11.07,340.0,0.0336,low,production,2026-02-27T04:03:27.530280
svc_002,Auth Service,API Gateway,Auth Service,433.39,8578,35.16,2036.0,0.0445,critical,production,2026-02-27T04:32:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,125.1,4152,30.86,944.0,0.0436,medium,production,2026-02-27T04:39:27.530280
svc_005,Payment Service,Order Service,Payment Service,222.62,2625,52.11,1878.0,0.0125,critical,production,2026-02-27T04:51:27.530280
svc_012,Config Service,Auth Service,Config Service,316.05,731,43.72,1748.0,0.0377,high,production,2026-02-27T05:12:27.530280
svc_012,Config Service,Order Service,Config Service,214.7,5447,60.4,813.0,0.0215,high,production,2026-02-27T05:16:27.530280
svc_011,Logging Service,API Gateway,Logging Service,173.11,7547,57.81,1080.0,0.0028,medium,production,2026-02-27T05:18:27.530280
svc_003,User Service,Auth Service,User Service,443.73,6149,38.91,1765.0,0.002,high,production,2026-02-27T05:45:27.530280
svc_015,Report Service,Analytics Service,Report Service,62.81,2280,25.38,1809.0,0.018,low,production,2026-02-27T05:58:27.530280
svc_012,Config Service,Order Service,Config Service,243.89,6848,33.34,1080.0,0.0226,high,production,2026-02-27T06:14:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,427.06,1862,48.68,1505.0,0.0446,low,production,2026-02-27T06:35:27.530280
svc_009,Search Service,Catalog Service,Search Service,395.36,975,12.43,1866.0,0.0105,medium,production,2026-02-27T07:06:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,66.62,4017,63.92,371.0,0.0102,low,production,2026-02-27T07:11:27.530280
svc_005,Payment Service,Order Service,Payment Service,430.62,1457,72.83,759.0,0.0475,critical,production,2026-02-27T07:23:27.530280
svc_015,Report Service,Billing Service,Report Service,468.07,3689,29.61,301.0,0.0273,low,production,2026-02-27T07:41:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,113.96,3490,48.71,1593.0,0.0309,medium,production,2026-02-27T07:42:27.530280
svc_006,Notification Service,Payment Service,Notification Service,254.92,7211,61.07,279.0,0.0415,medium,production,2026-02-27T07:49:27.530280
svc_009,Search Service,Catalog Service,Search Service,265.43,1820,17.72,1379.0,0.0343,medium,production,2026-02-27T07:49:27.530280
svc_014,Email Service,Notification Service,Email Service,220.27,653,40.37,655.0,0.0236,medium,production,2026-02-27T08:04:27.530280
svc_013,Cache Service,Search Service,Cache Service,22.35,279,36.89,1374.0,0.0479,high,production,2026-02-27T08:10:27.530280
svc_004,Order Service,API Gateway,Order Service,75.28,970,57.75,269.0,0.0286,critical,production,2026-02-27T08:18:27.530280
svc_006,Notification Service,Order Service,Notification Service,450.48,611,47.82,1311.0,0.0398,medium,production,2026-02-27T08:21:27.530280
svc_002,Auth Service,API Gateway,Auth Service,285.02,8546,12.22,794.0,0.029,critical,production,2026-02-27T09:04:27.530280
svc_018,Session Service,Auth Service,Session Service,87.64,7193,67.99,1468.0,0.0203,high,production,2026-02-27T09:35:27.530280
svc_003,User Service,API Gateway,User Service,296.06,5306,31.31,2004.0,0.0391,high,production,2026-02-27T09:36:27.530280
svc_015,Report Service,Analytics Service,Report Service,370.92,97,30.23,1932.0,0.0039,low,production,2026-02-27T09:38:27.530280
svc_011,Logging Service,API Gateway,Logging Service,321.04,3516,58.99,1089.0,0.014,medium,production,2026-02-27T09:49:27.530280
svc_003,User Service,API Gateway,User Service,151.54,7586,44.34,906.0,0.0433,high,production,2026-02-27T09:51:27.530280
svc_012,Config Service,User Service,Config Service,357.26,6123,16.74,485.0,0.0119,high,production,2026-02-27T10:08:27.530280
svc_012,Config Service,Order Service,Config Service,258.45,757,49.2,363.0,0.026,high,production,2026-02-27T10:12:27.530280
svc_008,Catalog Service,Inventory Service,Catalog Service,228.12,2254,12.97,427.0,0.0244,high,production,2026-02-27T10:18:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,149.84,3079,43.93,817.0,0.0032,high,production,2026-02-27T10:30:27.530280
svc_013,Cache Service,Search Service,Cache Service,94.88,2285,20.05,1666.0,0.02,high,production,2026-02-27T10:46:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,37.52,10076,11.29,314.0,0.0252,high,production,2026-02-27T10:49:27.530280
svc_016,Billing Service,Payment Service,Billing Service,99.02,9071,47.91,267.0,0.0033,high,production,2026-02-27T10:55:27.530280
svc_010,Analytics Service,User Service,Analytics Service,428.88,1196,39.59,475.0,0.026,low,production,2026-02-27T10:58:27.530280
svc_015,Report Service,Billing Service,Report Service,38.04,1357,9.68,1437.0,0.0197,low,production,2026-02-27T11:04:27.530280
svc_003,User Service,Auth Service,User Service,192.77,9229,47.41,166.0,0.0296,high,production,2026-02-27T11:11:27.530280
svc_012,Config Service,Auth Service,Config Service,65.64,6620,47.54,967.0,0.0391,high,production,2026-02-27T11:17:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,176.8,253,17.63,456.0,0.0232,medium,production,2026-02-27T11:31:27.530280
svc_013,Cache Service,Catalog Service,Cache Service,145.1,2487,51.22,927.0,0.029,high,production,2026-02-27T11:34:27.530280
svc_015,Report Service,Billing Service,Report Service,380.8,6304,61.99,1885.0,0.02,low,production,2026-02-27T11:59:27.530280
svc_016,Billing Service,Payment Service,Billing Service,200.37,8337,23.35,932.0,0.0255,high,production,2026-02-27T12:05:27.530280
svc_005,Payment Service,Order Service,Payment Service,439.98,9717,45.91,304.0,0.0304,critical,production,2026-02-27T12:09:27.530280
svc_004,Order Service,API Gateway,Order Service,57.81,7401,82.26,1633.0,0.0365,critical,production,2026-02-27T12:11:27.530280
svc_008,Catalog Service,Inventory Service,Catalog Service,268.62,7241,35.84,541.0,0.046,high,production,2026-02-27T12:45:27.530280
svc_002,Auth Service,API Gateway,Auth Service,331.92,8615,77.3,1965.0,0.0231,critical,production,2026-02-27T12:55:27.530280
svc_015,Report Service,Billing Service,Report Service,362.25,1410,43.4,1046.0,0.0126,low,production,2026-02-27T13:01:27.530280
svc_015,Report Service,Analytics Service,Report Service,235.35,332,7.97,953.0,0.0117,low,production,2026-02-27T13:02:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,496.59,5956,27.22,2014.0,0.0455,medium,production,2026-02-27T13:09:27.530280
svc_002,Auth Service,API Gateway,Auth Service,233.28,1169,81.48,1083.0,0.0499,critical,production,2026-02-27T13:13:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,486.39,3523,77.4,1432.0,0.0417,low,production,2026-02-27T13:13:27.530280
svc_012,Config Service,Order Service,Config Service,84.69,10179,48.89,414.0,0.0192,high,production,2026-02-27T13:32:27.530280
svc_016,Billing Service,Payment Service,Billing Service,185.97,10417,51.44,140.0,0.0444,high,production,2026-02-27T13:35:27.530280
svc_005,Payment Service,Order Service,Payment Service,429.18,6504,28.92,1017.0,0.0448,critical,production,2026-02-27T13:37:27.530280
svc_006,Notification Service,Order Service,Notification Service,65.27,838,10.89,826.0,0.0494,medium,production,2026-02-27T13:42:27.530280
svc_003,User Service,API Gateway,User Service,28.28,4373,40.16,1410.0,0.0191,high,production,2026-02-27T13:58:27.530280
svc_015,Report Service,Billing Service,Report Service,255.42,6910,39.83,229.0,0.035,low,production,2026-02-27T13:59:27.530280
svc_016,Billing Service,Payment Service,Billing Service,187.95,4748,26.57,1968.0,0.0319,high,production,2026-02-27T14:10:27.530280
svc_015,Report Service,Analytics Service,Report Service,492.39,2622,33.41,1550.0,0.0152,low,production,2026-02-27T14:12:27.530280
svc_015,Report Service,Billing Service,Report Service,162.13,7443,13.12,1238.0,0.0286,low,production,2026-02-27T14:21:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,236.01,5106,45.83,1810.0,0.0331,medium,production,2026-02-27T14:24:27.530280
svc_006,Notification Service,Order Service,Notification Service,485.97,9701,67.6,1936.0,0.0331,medium,production,2026-02-27T14:39:27.530280
svc_006,Notification Service,Payment Service,Notification Service,393.73,8495,20.4,382.0,0.0163,medium,production,2026-02-27T14:42:27.530280
svc_010,Analytics Service,User Service,Analytics Service,133.43,2537,43.78,564.0,0.0288,low,production,2026-02-27T14:53:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,298.32,873,73.24,1053.0,0.0063,high,production,2026-02-27T14:54:27.530280
svc_009,Search Service,Catalog Service,Search Service,245.18,2210,62.44,185.0,0.0396,medium,production,2026-02-27T14:58:27.530280
svc_016,Billing Service,Payment Service,Billing Service,195.63,5914,29.66,1445.0,0.0379,high,production,2026-02-27T15:20:27.530280
svc_006,Notification Service,Order Service,Notification Service,48.44,6230,23.67,1270.0,0.0271,medium,production,2026-02-27T15:21:27.530280
svc_011,Logging Service,API Gateway,Logging Service,464.63,5047,48.35,2007.0,0.035,medium,production,2026-02-27T15:21:27.530280
svc_010,Analytics Service,User Service,Analytics Service,472.49,2223,50.76,1380.0,0.0403,low,production,2026-02-27T15:47:27.530280
svc_012,Config Service,Auth Service,Config Service,162.73,2844,33.35,1256.0,0.0398,high,production,2026-02-27T16:00:27.530280
svc_015,Report Service,Billing Service,Report Service,491.27,7803,56.57,1284.0,0.0446,low,production,2026-02-27T16:09:27.530280
svc_015,Report Service,Analytics Service,Report Service,171.62,3416,29.09,889.0,0.042,low,production,2026-02-27T16:17:27.530280
svc_003,User Service,API Gateway,User Service,409.26,10658,27.63,1432.0,0.0254,high,production,2026-02-27T16:52:27.530280
svc_008,Catalog Service,Inventory Service,Catalog Service,175.61,2085,45.44,986.0,0.0491,high,production,2026-02-27T17:15:27.530280
svc_016,Billing Service,Payment Service,Billing Service,466.65,6748,78.12,1933.0,0.002,high,production,2026-02-27T17:17:27.530280
svc_015,Report Service,Analytics Service,Report Service,228.34,1141,18.91,648.0,0.0351,low,production,2026-02-27T17:28:27.530280
svc_003,User Service,API Gateway,User Service,411.2,7684,10.78,1808.0,0.0496,high,production,2026-02-27T17:28:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,369.15,3507,46.34,1426.0,0.0286,high,production,2026-02-27T17:43:27.530280
svc_016,Billing Service,Payment Service,Billing Service,349.86,1440,59.07,700.0,0.0128,high,production,2026-02-27T17:47:27.530280
svc_012,Config Service,User Service,Config Service,499.88,4888,17.62,1802.0,0.0456,high,production,2026-02-27T17:48:27.530280
svc_018,Session Service,Auth Service,Session Service,294.66,3319,43.85,653.0,0.0043,high,production,2026-02-27T17:48:27.530280
svc_012,Config Service,Order Service,Config Service,302.98,4839,41.3,1726.0,0.0218,high,production,2026-02-27T17:49:27.530280
svc_005,Payment Service,Order Service,Payment Service,69.12,8892,38.49,1090.0,0.0065,critical,production,2026-02-27T18:05:27.530280
svc_012,Config Service,Auth Service,Config Service,449.69,4382,84.93,1760.0,0.0076,high,production,2026-02-27T18:14:27.530280
svc_003,User Service,API Gateway,User Service,378.95,2550,48.46,1128.0,0.0181,high,production,2026-02-27T18:26:27.530280
svc_002,Auth Service,API Gateway,Auth Service,177.0,242,67.85,1728.0,0.004,critical,production,2026-02-27T18:27:27.530280
svc_002,Auth Service,API Gateway,Auth Service,25.26,2948,71.75,1941.0,0.045,critical,production,2026-02-27T18:36:27.530280
svc_012,Config Service,User Service,Config Service,46.79,3996,38.84,1055.0,0.04,high,production,2026-02-27T18:37:27.530280
svc_009,Search Service,API Gateway,Search Service,329.03,8813,65.02,1106.0,0.0397,medium,production,2026-02-27T18:47:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,348.6,6198,32.06,1446.0,0.0255,high,production,2026-02-27T19:14:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,319.68,5329,49.49,1942.0,0.0465,medium,production,2026-02-27T19:21:27.530280
svc_014,Email Service,Notification Service,Email Service,213.1,3456,28.4,146.0,0.015,medium,production,2026-02-27T19:41:27.530280
svc_014,Email Service,Notification Service,Email Service,53.25,1923,27.93,1273.0,0.0224,medium,production,2026-02-27T19:59:27.530280
svc_015,Report Service,Analytics Service,Report Service,398.38,915,10.17,1629.0,0.0411,low,production,2026-02-27T20:13:27.530280
svc_013,Cache Service,Search Service,Cache Service,441.46,197,7.11,1734.0,0.0325,high,production,2026-02-27T20:31:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,322.85,49,44.76,2031.0,0.0188,medium,production,2026-02-27T20:51:27.530280
svc_004,Order Service,API Gateway,Order Service,259.59,7102,49.5,918.0,0.0476,critical,production,2026-02-27T20:59:27.530280
svc_018,Session Service,Auth Service,Session Service,268.36,4697,81.53,145.0,0.0403,high,production,2026-02-27T21:08:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,441.95,636,79.05,1101.0,0.0062,high,production,2026-02-27T21:13:27.530280
svc_009,Search Service,Catalog Service,Search Service,179.09,2301,52.43,531.0,0.0089,medium,production,2026-02-27T21:13:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,36.72,1303,35.93,750.0,0.001,high,production,2026-02-27T21:17:27.530280
svc_014,Email Service,Notification Service,Email Service,303.34,767,27.34,1514.0,0.0442,medium,production,2026-02-27T21:23:27.530280
svc_012,Config Service,User Service,Config Service,225.89,1323,19.71,1134.0,0.0129,high,production,2026-02-27T21:30:27.530280
svc_012,Config Service,User Service,Config Service,395.99,4404,62.65,1296.0,0.0154,high,production,2026-02-27T21:39:27.530280
svc_005,Payment Service,Order Service,Payment Service,466.08,6040,76.2,1633.0,0.003,critical,production,2026-02-27T21:52:27.530280
svc_009,Search Service,Catalog Service,Search Service,337.15,3117,24.97,1334.0,0.0219,medium,production,2026-02-27T21:54:27.530280
svc_010,Analytics Service,User Service,Analytics Service,69.06,6134,53.58,1450.0,0.006,low,production,2026-02-27T21:58:27.530280
svc_004,Order Service,API Gateway,Order Service,396.28,1277,77.16,628.0,0.0042,critical,production,2026-02-27T22:00:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,243.07,5027,33.59,1230.0,0.0182,low,production,2026-02-27T22:01:27.530280
svc_006,Notification Service,Payment Service,Notification Service,180.55,5548,49.19,1241.0,0.0296,medium,production,2026-02-27T22:05:27.530280
svc_014,Email Service,Notification Service,Email Service,249.78,5854,8.04,1170.0,0.0496,medium,production,2026-02-27T22:33:27.530280
svc_003,User Service,API Gateway,User Service,213.28,4226,23.32,391.0,0.0011,high,production,2026-02-27T22:40:27.530280
svc_008,Catalog Service,Inventory Service,Catalog Service,80.18,8337,56.53,1975.0,0.0154,high,production,2026-02-27T23:05:27.530280
svc_002,Auth Service,API Gateway,Auth Service,428.7,1167,20.16,1815.0,0.0127,critical,production,2026-02-27T23:10:27.530280
svc_013,Cache Service,Search Service,Cache Service,153.24,2195,25.39,650.0,0.0193,high,production,2026-02-27T23:13:27.530280
svc_013,Cache Service,Search Service,Cache Service,215.73,4691,46.8,673.0,0.0327,high,production,2026-02-27T23:20:27.530280
svc_018,Session Service,Auth Service,Session Service,148.03,6832,33.08,141.0,0.0207,high,production,2026-02-27T23:35:27.530280
svc_006,Notification Service,Order Service,Notification Service,189.53,4089,47.77,737.0,0.0079,medium,production,2026-02-27T23:40:27.530280
svc_003,User Service,Auth Service,User Service,280.3,8745,50.8,1634.0,0.0187,high,production,2026-02-27T23:50:27.530280
svc_009,Search Service,Catalog Service,Search Service,409.5,807,37.99,1986.0,0.0243,medium,production,2026-02-27T23:56:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,282.5,6202,17.24,417.0,0.0159,high,production,2026-02-28T00:07:27.530280
svc_004,Order Service,API Gateway,Order Service,385.35,2977,76.8,164.0,0.0125,critical,production,2026-02-28T00:25:27.530280
svc_013,Cache Service,Search Service,Cache Service,439.04,1965,28.4,732.0,0.0245,high,production,2026-02-28T00:45:27.530280
svc_012,Config Service,Auth Service,Config Service,235.92,6124,65.65,1491.0,0.043,high,production,2026-02-28T00:51:27.530280
svc_010,Analytics Service,User Service,Analytics Service,411.35,865,19.1,1692.0,0.0307,low,production,2026-02-28T01:03:27.530280
svc_003,User Service,API Gateway,User Service,399.77,5150,53.12,1381.0,0.003,high,production,2026-02-28T01:06:27.530280
svc_008,Catalog Service,Inventory Service,Catalog Service,447.48,3066,16.68,829.0,0.0144,high,production,2026-02-28T01:07:27.530280
svc_010,Analytics Service,User Service,Analytics Service,322.23,5722,9.07,1514.0,0.0407,low,production,2026-02-28T01:16:27.530280
svc_003,User Service,Auth Service,User Service,34.27,7406,82.3,1198.0,0.0373,high,production,2026-02-28T01:35:27.530280
svc_009,Search Service,Catalog Service,Search Service,271.95,8096,9.55,1616.0,0.0341,medium,production,2026-02-28T01:37:27.530280
svc_005,Payment Service,Order Service,Payment Service,346.2,1841,41.67,934.0,0.0106,critical,production,2026-02-28T01:38:27.530280
svc_003,User Service,API Gateway,User Service,362.47,10,81.15,507.0,0.0068,high,production,2026-02-28T01:43:27.530280
svc_015,Report Service,Analytics Service,Report Service,155.62,72,8.75,976.0,0.0168,low,production,2026-02-28T01:57:27.530280
svc_005,Payment Service,Order Service,Payment Service,373.05,1271,74.76,1083.0,0.041,critical,production,2026-02-28T02:16:27.530280
svc_013,Cache Service,Search Service,Cache Service,154.31,3280,7.87,787.0,0.0337,high,production,2026-02-28T02:55:27.530280
svc_013,Cache Service,Catalog Service,Cache Service,483.39,1243,13.17,1135.0,0.0416,high,production,2026-02-28T02:55:27.530280
svc_003,User Service,Auth Service,User Service,196.65,3364,21.65,1755.0,0.0357,high,production,2026-02-28T03:20:27.530280
svc_003,User Service,Auth Service,User Service,80.76,834,69.79,1579.0,0.0377,high,production,2026-02-28T03:33:27.530280
svc_003,User Service,API Gateway,User Service,112.91,1071,22.46,1251.0,0.0108,high,production,2026-02-28T03:34:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,442.0,3026,36.12,1350.0,0.0165,medium,production,2026-02-28T03:37:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,145.49,2399,49.0,1712.0,0.0088,high,production,2026-02-28T03:45:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,94.41,1528,32.89,727.0,0.0115,medium,production,2026-02-28T03:50:27.530280
svc_009,Search Service,API Gateway,Search Service,59.25,8908,57.36,1761.0,0.0062,medium,production,2026-02-28T03:50:27.530280
svc_018,Session Service,Auth Service,Session Service,403.38,7797,42.76,1906.0,0.0225,high,production,2026-02-28T03:56:27.530280
svc_010,Analytics Service,User Service,Analytics Service,267.91,5792,22.8,1580.0,0.0159,low,production,2026-02-28T04:14:27.530280
svc_015,Report Service,Billing Service,Report Service,88.59,5289,37.3,1502.0,0.0157,low,production,2026-02-28T04:23:27.530280
svc_003,User Service,API Gateway,User Service,188.78,7625,24.8,1703.0,0.0132,high,production,2026-02-28T05:11:27.530280
svc_012,Config Service,User Service,Config Service,55.4,6497,67.81,1172.0,0.0103,high,production,2026-02-28T05:21:27.530280
svc_015,Report Service,Billing Service,Report Service,216.51,4473,56.28,424.0,0.0347,low,production,2026-02-28T05:30:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,487.9,5494,7.69,1342.0,0.0102,medium,production,2026-02-28T05:38:27.530280
svc_009,Search Service,API Gateway,Search Service,99.6,4843,55.79,1486.0,0.0021,medium,production,2026-02-28T05:44:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,277.43,1127,39.51,1433.0,0.0326,low,production,2026-02-28T05:50:27.530280
svc_017,Recommendation Service,Search Service,Recommendation Service,334.56,1577,48.9,1388.0,0.0447,medium,production,2026-02-28T05:50:27.530280
svc_012,Config Service,Order Service,Config Service,37.26,3327,23.31,1679.0,0.0171,high,production,2026-02-28T05:56:27.530280
svc_006,Notification Service,Order Service,Notification Service,175.01,1257,59.92,514.0,0.0259,medium,production,2026-02-28T06:04:27.530280
svc_006,Notification Service,Order Service,Notification Service,92.72,953,51.49,1758.0,0.0291,medium,production,2026-02-28T06:06:27.530280
svc_012,Config Service,Auth Service,Config Service,469.22,2400,53.54,698.0,0.0073,high,production,2026-02-28T06:09:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,445.93,882,64.15,129.0,0.0489,high,production,2026-02-28T06:13:27.530280
svc_011,Logging Service,API Gateway,Logging Service,54.5,5208,64.13,851.0,0.0207,medium,production,2026-02-28T06:32:27.530280
svc_018,Session Service,Auth Service,Session Service,194.09,3588,67.94,1795.0,0.0306,high,production,2026-02-28T06:32:27.530280
svc_002,Auth Service,API Gateway,Auth Service,287.69,2919,74.21,1632.0,0.0496,critical,production,2026-02-28T06:34:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,88.55,4333,43.2,422.0,0.0428,high,production,2026-02-28T06:48:27.530280
svc_004,Order Service,API Gateway,Order Service,149.53,4819,55.74,978.0,0.0412,critical,production,2026-02-28T07:05:27.530280
svc_008,Catalog Service,Inventory Service,Catalog Service,375.92,134,37.9,1749.0,0.0084,high,production,2026-02-28T07:34:27.530280
svc_013,Cache Service,Search Service,Cache Service,241.43,5060,29.55,577.0,0.0077,high,production,2026-02-28T07:45:27.530280
svc_004,Order Service,API Gateway,Order Service,120.52,7581,10.1,663.0,0.0322,critical,production,2026-02-28T07:50:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,215.09,5917,73.11,1096.0,0.0091,high,production,2026-02-28T08:05:27.530280
svc_009,Search Service,API Gateway,Search Service,286.62,106,76.32,377.0,0.0118,medium,production,2026-02-28T08:06:27.530280
svc_015,Report Service,Billing Service,Report Service,59.7,7683,40.35,1780.0,0.0254,low,production,2026-02-28T08:07:27.530280
svc_002,Auth Service,API Gateway,Auth Service,168.33,795,68.89,1123.0,0.016,critical,production,2026-02-28T08:30:27.530280
svc_012,Config Service,Order Service,Config Service,240.31,9179,41.49,751.0,0.0395,high,production,2026-02-28T08:33:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,147.71,7330,44.71,163.0,0.0327,low,production,2026-02-28T08:40:27.530280
svc_013,Cache Service,Catalog Service,Cache Service,143.38,3215,41.89,251.0,0.0271,high,production,2026-02-28T08:46:27.530280
svc_005,Payment Service,Order Service,Payment Service,484.3,10,74.59,203.0,0.0061,critical,production,2026-02-28T08:58:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,222.01,8592,63.05,432.0,0.0309,low,production,2026-02-28T09:00:27.530280
svc_002,Auth Service,API Gateway,Auth Service,319.46,4914,26.2,1091.0,0.0415,critical,production,2026-02-28T09:05:27.530280
svc_018,Session Service,Auth Service,Session Service,144.86,1520,16.56,518.0,0.0452,high,production,2026-02-28T09:28:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,445.32,9329,61.66,560.0,0.0499,low,production,2026-02-28T09:30:27.530280
svc_012,Config Service,User Service,Config Service,448.44,4162,46.65,1338.0,0.0019,high,production,2026-02-28T09:33:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,199.0,9880,49.86,1919.0,0.0408,low,production,2026-02-28T09:35:27.530280
svc_009,Search Service,Catalog Service,Search Service,37.94,5198,47.21,1290.0,0.0246,medium,production,2026-02-28T09:57:27.530280
svc_016,Billing Service,Payment Service,Billing Service,31.28,3511,54.69,1678.0,0.0047,high,production,2026-02-28T10:00:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,251.0,4768,31.96,1852.0,0.0154,low,production,2026-02-28T10:05:27.530280
svc_016,Billing Service,Payment Service,Billing Service,208.75,8214,84.85,1868.0,0.024,high,production,2026-02-28T10:11:27.530280
svc_009,Search Service,Catalog Service,Search Service,359.44,2660,32.34,1576.0,0.0471,medium,production,2026-02-28T10:20:27.530280
svc_010,Analytics Service,Order Service,Analytics Service,244.86,3047,42.26,1933.0,0.0096,low,production,2026-02-28T10:26:27.530280
svc_009,Search Service,Catalog Service,Search Service,130.96,5880,31.93,720.0,0.035,medium,production,2026-02-28T10:55:27.530280
svc_002,Auth Service,API Gateway,Auth Service,249.14,495,46.46,454.0,0.0436,critical,production,2026-02-28T11:13:27.530280
svc_007,Inventory Service,Order Service,Inventory Service,128.76,2504,82.75,1604.0,0.0384,high,production,2026-02-28T11:23:27.530280
svc_013,Cache Service,Search Service,Cache Service,57.15,10,10.27,311.0,0.0375,high,production,2026-02-28T11:41:27.530280
svc_009,Search Service,Catalog Service,Search Service,440.75,6541,38.72,1233.0,0.0313,medium,production,2026-02-28T11:42:27.530280
